,word,tag,level_freq@a1,level_freq@a2,level_freq@b1,level_freq@b2,level_freq@c1,total_freq@total,nb_doc@a1,nb_doc@a2,nb_doc@b1,nb_doc@b2,nb_doc@c1,nb_doc@total
14127,twisted,JJ,0.0,0.0,0.0,0.7308,1.0665,0.6835,0.0,0.0,0.0,1.0,1.0,2.0
14128,twisting,JJ,0.0,0.0,0.0,0.0,1.0665,0.0796,0.0,0.0,0.0,0.0,1.0,1.0
14129,two,RB,0.0,0.0,0.0,0.6749,0.0,0.0574,0.0,0.0,0.0,1.0,0.0,1.0
14130,two,CD,2132.8456,1517.3972,1398.9027,1472.8885,1354.7864,1490.2069,67.0,118.0,97.0,145.0,134.0,561.0
14131,two-bedroom_apartment,NN,0.0,0.0,1.6375,0.0,0.0,0.2268,0.0,0.0,1.0,0.0,0.0,1.0
14132,two-hour_drive,NN,0.0,0.7704,0.0,0.0,0.0,0.0292,0.0,1.0,0.0,0.0,0.0,1.0
14133,two-room_shack,NN,0.0,0.0,0.0,0.3154,0.0,0.045,0.0,0.0,0.0,1.0,0.0,1.0
14134,two-stage_process,NN,0.0,0.0,0.0,0.8294,0.0,0.2268,0.0,0.0,0.0,1.0,0.0,1.0
14135,two-storey_home,NN,0.0,0.0,1.6375,0.0,0.0,0.2268,0.0,0.0,1.0,0.0,0.0,1.0
14136,two-way_exercise,NN,0.0,0.0,0.0,0.5926,0.0,0.0504,0.0,0.0,0.0,1.0,0.0,1.0
14137,two-way_process,NN,0.0,0.0,0.0,0.4103,0.0,0.0803,0.0,0.0,0.0,1.0,0.0,1.0
14138,two-wheeled,JJ,0.0,0.0,0.0,0.7308,0.0,0.0621,0.0,0.0,0.0,1.0,0.0,1.0
14139,two_billion,CD,0.0,0.0,0.0,0.4103,0.0,0.0803,0.0,0.0,0.0,1.0,0.0,1.0
14140,two_hundred,CD,21.1474,9.2029,0.0,12.108,5.057,10.7976,3.0,3.0,0.0,3.0,2.0,11.0
14141,two_million,CD,0.0,0.0,1.3622,0.0,0.6091,0.7057,0.0,0.0,1.0,0.0,1.0,2.0
14142,two_thousand,CD,0.0,7.1147,0.0,0.0,0.0,0.918,0.0,3.0,0.0,0.0,0.0,3.0
14143,twofold,JJ,0.0,0.0,0.0,0.0,0.8152,0.2268,0.0,0.0,0.0,0.0,1.0,1.0
14144,twos,NN,0.0,0.0,0.0,0.7308,0.0,0.0621,0.0,0.0,0.0,1.0,0.0,1.0
14145,type,VB,0.0,9.2452,5.2858,0.8205,0.9605,5.7339,0.0,3.0,2.0,2.0,1.0,8.0
14146,type,NN,0.0,44.4492,179.0416,166.1068,32.1411,89.7313,0.0,6.0,23.0,30.0,9.0,68.0
14147,type_out,VB,0.0,0.7704,0.0,0.0,0.9605,0.5828,0.0,1.0,0.0,0.0,1.0,2.0
14148,typewriter,NN,0.0,2.3113,0.0,0.0,0.0,0.0875,0.0,2.0,0.0,0.0,0.0,2.0
14149,typewritten,JJ,0.0,0.0,0.0,0.6729,0.0,0.0572,0.0,0.0,0.0,1.0,0.0,1.0
14150,typhoid,JJ,0.0,0.0,0.0,0.0,3.8421,0.2866,0.0,0.0,0.0,0.0,2.0,2.0
14151,typhoid_fever,NN,0.0,0.0,0.0,0.0,2.8815,0.215,0.0,0.0,0.0,0.0,3.0,3.0
14152,typhoon,NN,2.3682,0.0,0.0,0.0,0.0,0.0252,1.0,0.0,0.0,0.0,0.0,1.0
14153,typical,JJ,9.4728,11.8432,54.1715,20.1356,19.3153,23.139,4.0,5.0,11.0,6.0,6.0,32.0
14154,typically,RB,0.0,0.3436,2.1495,10.8479,8.1508,8.1938,0.0,1.0,1.0,4.0,5.0,11.0
14155,typist,NN,0.0,0.7704,0.0,0.0,0.0,0.0292,0.0,1.0,0.0,0.0,0.0,1.0
14156,typography,NN,0.0,0.0,0.0,0.0,1.6303,0.4535,0.0,0.0,0.0,0.0,2.0,2.0
14157,tyre,NN,0.0,0.0,7.7677,3.388,0.9605,3.5658,0.0,0.0,2.0,2.0,1.0,5.0
14158,tyre_pump,NN,0.0,0.0,0.0,0.0,0.8152,0.2268,0.0,0.0,0.0,0.0,1.0,1.0
14159,u,PRP,4.7364,0.0,0.0,0.0,0.0,0.0505,1.0,0.0,0.0,0.0,0.0,1.0
14160,u,NN,0.0,0.5559,0.0,0.0,0.0,0.0812,0.0,1.0,0.0,0.0,0.0,1.0
14161,u-shaped,JJ,0.0,0.0,0.0,0.8294,0.0,0.2268,0.0,0.0,0.0,1.0,0.0,1.0
14162,ubiquitous,JJ,0.0,0.0,0.0,0.8294,1.6303,0.6803,0.0,0.0,0.0,1.0,2.0,3.0
14163,ugh,UH,0.0,0.5559,0.0,3.6149,0.0,1.5132,0.0,1.0,0.0,2.0,0.0,3.0
14164,ugliness,NN,0.0,0.8051,0.0,0.0,9.3403,2.3747,0.0,1.0,0.0,0.0,4.0,5.0
14165,ugly,JJ,5.1752,4.9404,8.5341,23.2246,73.2677,26.8585,2.0,3.0,2.0,6.0,16.0,29.0
14166,uh,UH,24.6713,13.3583,4.0866,0.0,0.0,3.1778,7.0,7.0,3.0,0.0,0.0,17.0
14167,uh-huh,UH,12.3357,1.1119,1.3622,0.0,0.6091,1.9704,2.0,2.0,1.0,0.0,1.0,6.0
14168,uh-oh,UH,2.4671,0.5559,1.3622,0.0,0.0,0.2437,1.0,1.0,1.0,0.0,0.0,3.0
14169,ukrainian,JJ,0.0,0.0,0.0,0.0,1.921,0.1433,0.0,0.0,0.0,0.0,2.0,2.0
14170,ultimate,JJ,0.0,0.0,0.0,0.0,3.3326,0.611,0.0,0.0,0.0,0.0,2.0,2.0
14171,ultimately,RB,0.0,0.0,0.0,7.29,7.42,3.3587,0.0,0.0,0.0,5.0,3.0,8.0
14172,ultra-fast,JJ,0.0,0.0,0.0,0.8294,0.0,0.2268,0.0,0.0,0.0,1.0,0.0,1.0
14173,ultra-modern,JJ,0.0,0.0,0.0,0.0,0.6091,0.0803,0.0,0.0,0.0,0.0,1.0,1.0
14174,ultra-secure,JJ,0.0,0.0,0.0,0.8294,0.0,0.2268,0.0,0.0,0.0,1.0,0.0,1.0
14175,ultrasound,NN,0.0,1.1119,0.0,0.0,0.0,0.1625,0.0,2.0,0.0,0.0,0.0,2.0
14176,um,UH,50.3927,13.0268,22.96,6.3851,4.8731,20.4144,10.0,7.0,6.0,6.0,4.0,33.0
14177,umbrella,NN,4.9343,1.1119,1.6375,0.0,0.0,1.098,2.0,1.0,1.0,0.0,0.0,4.0
14178,unable,JJ,0.0,0.8051,16.6413,39.4641,71.6845,33.3978,0.0,1.0,3.0,11.0,17.0,32.0
14179,unacceptable,JJ,0.0,0.0,0.0,3.8497,0.0,0.6602,0.0,0.0,0.0,2.0,0.0,2.0
14180,unaffected,JJ,0.0,0.0,0.0,1.4616,0.0,0.1242,0.0,0.0,0.0,2.0,0.0,2.0
14181,unafraid,JJ,0.0,0.0,0.0,0.0,1.8171,0.1356,0.0,0.0,0.0,0.0,2.0,2.0
14182,unaided,JJ,0.0,0.0,0.0,0.0,1.0665,0.0796,0.0,0.0,0.0,0.0,1.0,1.0
14183,unannounced,JJ,0.0,0.0,0.0,0.0,0.1804,0.045,0.0,0.0,0.0,0.0,1.0,1.0
14184,unanswered,JJ,0.0,0.0,0.0,0.7308,0.0,0.0621,0.0,0.0,0.0,1.0,0.0,1.0
14185,unassailable,JJ,0.0,0.0,0.0,0.0,0.8152,0.2268,0.0,0.0,0.0,0.0,1.0,1.0
14186,unattractive,JJ,0.0,0.0,0.0,5.4141,0.0,0.7343,0.0,0.0,0.0,3.0,0.0,3.0
14187,unauthorized,JJ,0.0,0.0,0.0,0.0,0.6091,0.0803,0.0,0.0,0.0,0.0,1.0,1.0
14188,unavailable,JJ,0.0,0.0,1.3622,0.0,0.0,0.0812,0.0,0.0,1.0,0.0,0.0,1.0
14189,unavoidable,JJ,0.0,0.0,0.0,0.7308,1.0665,0.6835,0.0,0.0,0.0,1.0,1.0,2.0
14190,unavoidably,RB,0.0,0.0,0.0,0.0,1.0665,0.0796,0.0,0.0,0.0,0.0,1.0,1.0
14191,unaware,JJ,0.0,0.0,0.0,0.8294,1.8171,0.8049,0.0,0.0,0.0,1.0,2.0,3.0
14192,unbearable,JJ,0.0,0.0,0.0,0.0,0.9086,0.0678,0.0,0.0,0.0,0.0,1.0,1.0
14193,unbearably,RB,0.0,0.0,0.0,0.0,0.9357,0.0698,0.0,0.0,0.0,0.0,1.0,1.0
14194,unbelievable,JJ,0.0,0.0,5.1784,17.6797,19.2799,11.2671,0.0,0.0,2.0,6.0,5.0,13.0
14195,unbelievably,RB,0.0,0.0,0.0,0.7308,0.9357,0.6802,0.0,0.0,0.0,1.0,1.0,2.0
14196,unbending,JJ,0.0,0.0,0.0,0.0,1.0665,0.0796,0.0,0.0,0.0,0.0,1.0,1.0
14197,unborn,JJ,0.0,0.0,0.0,0.0,1.8714,0.1396,0.0,0.0,0.0,0.0,2.0,2.0
14198,unbottled,JJ,0.0,0.0,0.0,0.0,2.133,0.1591,0.0,0.0,0.0,0.0,2.0,2.0
14199,unbroken,JJ,0.0,0.0,0.0,0.7308,1.0665,0.6835,0.0,0.0,0.0,1.0,1.0,2.0
14200,unbuttoned,JJ,0.0,0.0,0.0,0.7308,0.9086,0.6792,0.0,0.0,0.0,1.0,1.0,2.0
14201,uncarpeted,JJ,0.0,0.0,0.0,0.1311,0.0,0.0314,0.0,0.0,0.0,1.0,0.0,1.0
